時間,測站名稱,PM2.5,溫度,濕度
2025-11-21 16:28:39,臺北,48.682572810967926,25.936960919741935,70.05609276581816
2025-11-21 17:28:39,臺北,41.02483044717688,21.245362594579692,62.53785359421684
2025-11-21 18:28:39,臺北,43.35469677638743,26.33384700066145,69.77822218492447
2025-11-21 19:28:39,臺北,36.88868584852396,23.376801858277453,56.932245080541506
2025-11-21 20:28:39,臺北,43.69716405368564,24.36168861580886,71.60047585380337
2025-11-21 21:28:39,臺北,40.25460448774072,22.542202716062835,57.0908484554822
2025-11-21 22:28:39,臺北,51.94442828408084,26.774699618667768,69.124791773645
2025-11-21 23:28:39,臺北,41.50459338060611,26.085319989238396,70.94649277674712
2025-11-22 00:28:39,臺北,33.64523546971972,23.500945755754756,71.72434875353049
2025-11-22 01:28:39,臺北,41.56224037595387,24.201901186085756,74.00776105010202
2025-11-22 02:28:39,臺北,42.80330580408243,24.690735812622332,65.48908158523298
2025-11-22 03:28:39,臺北,40.24688033543655,22.675563110723733,62.47337913646368
2025-11-22 04:28:39,臺北,36.95961800072229,22.874354406737147,62.242380224671024
2025-11-22 05:28:39,臺北,41.45689010778627,26.378708875424017,68.09020908790494
2025-11-22 06:28:39,臺北,35.6391774642299,26.49786104114355,73.96637782822597
2025-11-22 07:28:39,臺北,42.28497805107835,25.40851422121292,67.66206633511351
2025-11-22 08:28:39,臺北,43.29237759255824,24.097278470096352,73.08450680747626
2025-11-22 09:28:39,臺北,38.5105652648837,22.136481367661037,71.1366113139985
2025-11-22 10:28:39,臺北,34.45010617918181,26.631788674922507,71.00006173384786
2025-11-22 11:28:39,臺北,44.673403092052396,24.572428650859127,68.13720390096131
2025-11-22 12:28:39,臺北,43.51926955884594,22.904818602796666,58.954245358752146
2025-11-22 13:28:39,臺北,48.015437796322644,25.418681787701722,74.68899054908232
2025-11-22 14:28:39,臺北,49.17374324459122,26.235321074232147,64.09079450872454
2025-11-22 15:28:39,臺北,37.77024741840767,24.19251444577146,66.01651778778316
2025-11-22 16:28:39,臺北,50.39371005286509,21.403118636123462,59.538542043378335
2025-11-22 17:28:39,臺北,36.983711858199776,22.632126541572056,66.04491281223544
2025-11-22 18:28:39,臺北,37.798550372160584,22.132700684026055,56.885154283566926
2025-11-22 19:28:39,臺北,40.48826878191482,24.68383784008745,69.0229847737931
2025-11-22 20:28:39,臺北,43.357592042511584,22.91813816236894,75.76923658094448
2025-11-22 21:28:39,臺北,47.939422967413776,25.90229578450885,72.22536984198896
2025-11-22 22:28:39,臺北,46.62109820421076,24.111721808140473,73.58794320396245
2025-11-22 23:28:39,臺北,51.99037853119709,25.71800147186486,68.39412699695735
2025-11-23 00:28:39,臺北,43.3199899381611,25.180291996051874,59.18479296118761
2025-11-23 01:28:39,臺北,34.77691363416432,21.737693831596147,60.674027347331425
2025-11-23 02:28:39,臺北,48.19764779837974,22.898534693558194,59.32982746393898
2025-11-23 03:28:39,臺北,44.81773382667447,23.514450094129394,67.96928381962113
2025-11-23 04:28:39,臺北,50.89681754362974,24.55289885462023,63.53533030160112
2025-11-23 05:28:39,臺北,51.43433182668192,22.679507956705997,65.98282245454605
2025-11-23 06:28:39,臺北,45.05427524151148,22.63527024390798,74.82935280399018
2025-11-23 07:28:39,臺北,51.77889640191306,23.097543624164388,59.677953169624416
2025-11-23 08:28:39,臺北,46.449474663455575,26.30677319948848,69.22441432242489
2025-11-23 09:28:39,臺北,48.060521163934794,26.582636952290265,66.39721667982931
2025-11-23 10:28:39,臺北,47.626309023128094,21.103576740927746,59.65346623341843
2025-11-23 11:28:39,臺北,35.73355057406558,23.6781718853858,73.46298224002828
2025-11-23 12:28:39,臺北,46.065783000282735,22.59476995952936,68.10883060982599
2025-11-23 13:28:39,臺北,45.365807926088095,24.720795623922456,59.816645810197166
2025-11-23 14:28:39,臺北,34.842866516935764,24.452970431145804,60.51819310646589
2025-11-23 15:28:39,臺北,40.85187932807888,26.193417916247462,56.388286910236324
2025-11-23 16:28:39,臺北,45.08349948168883,21.92275931805427,62.35777042682407
2025-11-23 17:28:39,臺北,43.26941722753245,26.028364237052294,64.08558933937408
2025-11-23 18:28:39,臺北,36.86096252548221,25.261048102007564,71.93634219504901
2025-11-23 19:28:39,臺北,39.179577561421766,25.164501518985354,57.21583703975314
2025-11-23 20:28:39,臺北,33.28548816765722,23.259484767615508,74.10618749171503
2025-11-23 21:28:39,臺北,35.8921316485383,22.920285704784167,74.34661542486162
2025-11-23 22:28:39,臺北,42.25441286256192,23.489910327837897,59.36245388774661
2025-11-23 23:28:39,臺北,34.46162333311689,25.19264675510054,59.29753940629449
2025-11-24 00:28:39,臺北,40.157849519424545,25.293940765450053,72.42826590742851
2025-11-24 01:28:39,臺北,36.77695503184092,25.419551760453686,71.38373871522043
2025-11-24 02:28:39,臺北,44.64775433504518,21.62705043075368,65.00285578833986
2025-11-24 03:28:39,臺北,52.19308591562536,21.5192854231184,61.4630861055891
2025-11-24 04:28:39,臺北,36.628818052338225,25.747997577563133,60.1311556749513
2025-11-24 05:28:39,臺北,38.705432626923944,25.20873385932581,64.44509459428346
2025-11-24 06:28:39,臺北,47.33864109753841,21.436098636969795,72.99304660473555
2025-11-24 07:28:39,臺北,47.066114329785364,22.20951714557451,56.80351036355208
2025-11-24 08:28:39,臺北,39.480679239897945,22.22641371444012,74.63154198012646
2025-11-24 09:28:39,臺北,34.231027841954514,22.636563937727225,71.03431007401456
2025-11-24 10:28:39,臺北,46.020771675599995,25.427313864440823,65.88279019407634
2025-11-24 11:28:39,臺北,37.49468321577844,20.956326327708787,61.655899264636844
2025-11-24 12:28:39,臺北,34.79307108107565,26.244466318856553,66.62368606509396
2025-11-24 13:28:39,臺北,41.35169369519007,23.710511293774317,58.22013039961371
2025-11-24 14:28:39,臺北,48.59275728808386,24.721964969356275,70.45042884144154
2025-11-24 15:28:39,臺北,43.8997376460831,24.035138693439855,58.454332547116095
2025-11-24 16:28:39,臺北,34.35167826732552,25.37482158535071,62.26900808225681
2025-11-24 17:28:39,臺北,38.20760951968462,26.401031033388563,74.48547799076965
2025-11-24 18:28:39,臺北,47.85963352653161,26.595055184049585,71.63824894883155
2025-11-24 19:28:39,臺北,43.302431512202475,22.511955775390728,68.1137216514242
2025-11-24 20:28:39,臺北,47.218175319732765,25.727720690079806,66.47243076792994
2025-11-24 21:28:39,臺北,41.61632340738404,22.572602879778227,70.93578179536777
2025-11-24 22:28:39,臺北,38.194327858936404,24.379556273778604,66.55159463524362
2025-11-24 23:28:39,臺北,39.34968375406681,22.268001102465142,72.33190008728997
2025-11-25 00:28:39,臺北,36.57835600315378,21.885585053999723,65.63484509496647
2025-11-25 01:28:39,臺北,52.199156828262744,24.09966904549344,66.29299733835259
2025-11-25 02:28:39,臺北,42.505777761077795,25.88950508837395,75.01717271518169
2025-11-25 03:28:39,臺北,37.313866078011635,23.68354882500932,66.82799389588358
2025-11-25 04:28:39,臺北,50.754383677761645,25.005071603409554,60.343117219117666
2025-11-25 05:28:39,臺北,45.54323551054981,26.65862118272924,73.32237005439002
2025-11-25 06:28:39,臺北,42.84513671372425,23.097732281203555,63.70563049964016
